query,_id,total_purchases,add_to_cart_count,total_click_count,one_day_revenue,three_day_revenue,five_day_revenue
dress print floral red,89550147_0,8,48,70,192.64,192.64,192.64
dress print floral short,90006421_0,8,96,168,82.05,131.28,131.28
dress print floral tunic,82039233_0,75,66,183,937.38,937.38,1378.5
dress print foil woodgrain,89784676_0,35,98,151,439.11,731.85,731.85
dress print green,90676653_0,60,126,145,458.88,917.76,1147.2
dress print jersey shift,91312731_0,61,83,97,1398.96,1398.96,1471.32
dress print leopard multicolor,67868121_0,40,126,148,651.28,930.4,930.4
dress print logo black,91256605_0,34,86,114,167.58,813.96,813.96
dress print long floral,89186407_0,59,105,113,1035.45,1035.45,1035.45
dress print maxi blue,91227682_0,35,119,157,73.68,859.6,859.6
dress print maxi brown,91001580_0,11,30,100,49.0,49.0,269.5
dress print maxi floral,90631960_0,14,29,104,164.97,164.97,256.62
dress print maxi floral,91196918_0,11,47,109,266.64,266.64,266.64
dress print maxi multicolor,90650042_0,59,77,147,1003.0,1003.0,1003.0
dress print maxi multicolor,91102002_0,50,114,150,232.1,1160.5,1160.5
dress print medallion white,89677145_0,50,106,141,262.24,639.21,819.5
dress print mini flutter,89955268_1,5,23,105,49.46,123.65,123.65
dress print mini multicolor,91285334_0,7,54,57,80.28,80.28,140.49
dress print mix shirt,91425134_0,35,41,71,129.36,754.6,754.6
dress print multi kimono,91375109_0,60,47,53,586.08,586.08,976.8
dress print multicolor,90310611_0,100,170,257,866.0,866.0,2165.0
dress print multicolor,90613304_0,29,62,71,581.74,581.74,581.74
dress print multicolor,91324666_0,144,157,168,2060.28,2060.28,3058.56
dress print multicolor abstract,91360236_0,47,88,134,1106.38,1106.38,1106.38
dress print multicolor detail,83330082_0,11,138,142,74.16,74.16,271.92
dress print multicolor feather,91433099_0,155,175,268,968.96,1090.08,2346.7
dress print multicolor fit,91315630_0,36,99,110,41.46,352.41,746.28
dress print multicolor floral,90798194_0,80,114,177,568.1,568.1,1976.0
dress print multicolor petite,68574793_0,58,69,185,892.62,892.62,892.62
dress print multicolor petite,90692550_0,35,138,142,417.25,417.25,584.15
dress print multicolor pleated,88798974_0,38,48,65,348.32,827.26,827.26
dress print multicolor sleeve,90742993_0,50,71,112,862.0,862.0,862.0
dress print multicolor tiered,91329023_0,7,90,168,48.3,169.05,169.05
dress print multicolor tunic,91395655_0,17,138,145,323.68,323.68,323.68
dress print ombre blue,91319646_0,28,36,156,428.95,428.95,522.2
dress print patchwork blue,90833291_0,10,23,75,209.5,209.5,209.5
dress print red floral,88751884_0,9,129,160,141.84,141.84,141.84
dress print red floral,90631960_0,41,79,199,696.54,751.53,751.53
dress print red handkerchief,89952568_0,76,107,157,781.44,1605.12,1605.12
dress print red maxi,90631960_0,25,29,98,36.66,421.59,458.25
dress print red maxi,90736648_0,20,58,131,356.64,445.8,445.8
dress print sadie floral,89737595_0,13,106,180,205.8,205.8,222.95
dress print sheer floral,90182715_2,20,46,153,208.08,346.8,346.8
dress print shift red,91318369_0,6,67,121,87.04,108.8,130.56
dress print silk mixed,91415543_0,44,109,185,688.86,704.88,704.88
dress print silk multicolor,90694604_0,14,21,101,49.2,229.6,229.6
dress print silk multicolor,90886409_0,11,30,52,137.88,168.52,168.52
dress print silk ombre,90779634_0,27,56,76,438.12,657.18,657.18
dress print skater black,91361021_0,89,142,168,187.0,1664.3,1664.3
dress print sleeveless floral,89853762_0,125,319,377,1836.75,1836.75,2468.75
dress print slip leopard,91230168_0,38,104,162,776.34,776.34,776.34
dress print summer red,89560172_0,34,20,61,368.64,368.64,783.36
dress print tank black,81971652_1,19,69,79,342.89,342.89,383.23
dress print tapestry pink,90731728_0,32,88,145,570.44,614.32,702.08
dress print trapeze chiffon,89296876_0,22,74,146,433.98,433.98,530.42
dress print tropical beach,88810377_0,57,67,138,899.64,1424.43,1424.43
dress print v-neck multicolor,90972070_0,71,146,173,1106.84,1106.84,1172.92
dress print wiggle multicolor,89292574_0,48,118,128,218.96,750.72,750.72
dress printed asymmetrical blue,89166339_0,9,41,124,143.1,143.1,214.65
dress printed black,90527721_0,107,204,361,2336.24,2358.28,2358.28
dress printed black,90975498_0,52,104,117,788.04,788.04,1241.76
dress printed black,91373459_0,80,118,344,517.44,1724.8,1724.8
dress printed black,91430075_0,46,82,109,246.96,811.44,811.44
dress printed black asymmetrical,90827341_0,29,40,79,298.9,619.15,619.15
dress printed black crêpe,91434511_0,95,114,200,1298.04,1298.04,2126.1
dress printed black maxi,91198792_0,15,40,54,262.99,262.99,303.45
dress printed black midi,91269781_0,28,72,178,511.28,511.28,511.28
dress printed black sleeveless,91339469_0,11,61,71,48.76,195.04,268.18
dress printed black tie,89320171_0,10,26,181,93.7,93.7,187.4
dress printed blue,91370969_0,72,103,200,1099.2,1319.04,1319.04
dress printed blue,91434581_0,47,77,150,513.48,513.48,731.32
dress printed blue maxi,90812326_0,59,95,188,97.15,1146.37,1146.37
dress printed blue maxi,91251184_0,16,21,100,149.34,398.24,398.24
dress printed chiffon shift,91414127_0,27,51,81,400.62,400.62,491.67
dress printed chiffon white,91330402_0,58,115,132,1017.98,1017.98,1283.54
dress printed cotton multicolor,91355281_0,100,141,165,2210.65,2210.65,2327.0
dress printed crepe shift,74653842_0,53,93,115,160.56,1063.71,1063.71
dress printed crêpe black,91434511_0,23,74,118,268.56,268.56,514.74
dress printed denim blue,56081827_2,37,63,98,247.52,247.52,704.48
dress printed elle boho,91016452_0,29,126,126,672.22,672.22,672.22
dress printed faith sheath,87856731_0,140,146,149,1639.7,1639.7,2416.4
dress printed faux-wrap blue,91411416_0,35,99,143,664.16,830.2,830.2
dress printed faux-wrap red,91410958_0,13,21,95,244.79,244.79,244.79
dress printed faux-wrap yellow,90460201_0,72,77,142,964.32,964.32,1416.96
dress printed filigree silk-chiffon,91329308_0,40,106,145,202.86,495.88,901.6
dress printed flare scuba,90502894_0,13,21,101,166.08,166.08,269.88
dress printed jersey white,89739687_0,14,24,158,48.86,48.86,342.02
dress printed julia maxi,91263151_0,8,38,72,37.28,149.12,149.12
dress printed long multicolor,91357624_0,31,127,172,426.14,426.14,600.47
dress printed maggie sleeveless,89489964_0,64,105,192,1366.4,1366.4,1366.4
dress printed maxi black,88903301_0,69,141,288,387.87,1255.96,1274.43
dress printed maxi blue,90732304_0,32,47,89,424.27,558.25,714.56
dress printed maxi multicolor,90812771_0,11,43,72,196.02,196.02,196.02
dress printed maxi silk-chiffon,90759528_0,155,136,163,1359.03,1359.03,2366.85
dress printed maxi silk-chiffon,91178341_0,19,133,160,248.78,337.63,337.63
dress printed maxi sleeveless,90672575_0,11,25,82,0.0,160.08,220.11
dress printed mini natural,90493494_0,6,32,73,128.1,128.1,128.1
dress printed mini silk-chiffon,91274390_0,3,106,191,48.74,48.74,73.11
dress printed mini tegan,91324835_0,76,94,182,1178.0,1178.0,1178.0
dress printed multicolor,90163920_0,22,37,101,387.6,387.6,448.8
dress printed multicolor,90978396_0,78,141,160,1071.9,1071.9,1548.3
dress printed multicolor,90994809_0,52,88,118,456.94,456.94,1080.04
dress printed multicolor,91116107_0,67,140,344,1072.74,1185.66,1260.94
dress printed multicolor,91302213_0,11,63,118,212.3,212.3,233.53
dress printed multicolor,91308979_0,30,29,155,460.95,460.95,658.5
dress printed multicolor all,91039120_0,21,73,82,432.6,432.6,432.6
dress printed multicolor ellie,91135622_0,22,27,63,319.2,319.2,501.6
dress printed multicolor front,91273334_0,25,29,175,622.75,622.75,622.75
dress printed multicolor pleated,89723322_0,34,80,104,318.4,318.4,541.28
dress printed multicolor shine,91436704_0,7,31,121,171.71,171.71,171.71
dress printed multicolor silk,90427898_0,16,23,53,290.24,290.24,290.24
dress printed multicolor sleeveless,90566014_0,7,31,57,122.0,170.8,170.8
dress printed multicolor v-neck,90884815_0,46,51,78,541.44,541.44,778.32
dress printed nandita pink,90800803_0,59,130,149,218.53,521.11,991.79
dress printed natural smock,90995865_0,29,89,115,235.4,620.6,620.6
dress printed peasant multicolor,90269177_0,22,82,90,538.78,538.78,538.78
dress printed pink maxi,90666513_0,72,88,125,1112.44,1112.44,1380.96
dress printed pleated multicolor,89723322_0,14,67,90,175.12,175.12,222.88
dress printed pleated silk,91433042_0,30,110,122,174.96,583.2,583.2
dress printed pleated sleeveless,90924084_0,19,54,200,347.13,347.13,347.13
dress printed purple blouson,90861653_0,21,95,288,85.36,256.08,448.14
dress printed red faux-wrap,91410958_0,77,240,251,1073.31,1261.61,1449.91
dress printed red maxi,91124992_0,19,141,157,314.16,314.16,351.12
dress printed red shift,91410205_0,30,22,176,377.12,377.12,707.1
dress printed sateen boutique,91388179_0,42,30,51,653.94,653.94,1017.24
dress printed sheath black,90861250_0,43,78,178,138.72,208.08,994.16
dress printed sheath khaki,89685351_0,84,87,124,685.2,1438.92,1438.92
dress printed sheath multicolor,91273334_0,14,49,50,149.46,348.74,348.74
dress printed shine multicolor,91436704_0,85,128,157,2085.05,2085.05,2085.05
dress printed silk,91304773_0,40,123,365,348.46,995.6,995.6
dress printed silk multicolor,91257252_0,60,93,101,1083.0,1083.0,1140.0
dress printed silk red,91010432_0,106,160,165,1692.46,1692.46,2329.88
dress printed sleeveless black,91339469_0,17,29,141,414.46,414.46,414.46
dress printed sleeveless multicolor,90566014_0,72,132,134,390.4,1756.8,1756.8
dress printed sleeveless red,91032376_0,11,21,121,189.68,189.68,260.81
dress printed v-neck blue,90123117_0,24,45,138,165.99,241.44,362.16
dress printed v-neck long,91363036_0,16,26,100,0.0,272.36,396.16
dress printed waist multicolor,91335044_0,13,27,180,0.0,183.04,297.44
dress printed waist tie,91335044_0,27,72,78,366.08,366.08,617.76
dress printed white,91435310_0,16,52,57,246.1,246.1,393.76
dress printed white maxi,88849464_0,88,177,197,348.3,1973.7,2043.36
dress printed white shift,89767469_0,18,62,83,166.9,300.42,300.42
dress printed white shift,91289039_0,28,63,75,669.76,669.76,669.76
dress printed wrap brown,79171034_0,46,133,196,340.1,716.0,823.4
dress printed wrap crepe,91265188_0,10,23,142,191.4,191.4,191.4
dress prom embroidery multicolor,91370474_0,10,83,188,191.79,213.1,213.1
dress purple back split,91338352_0,66,90,117,707.7,707.7,1334.52
dress purple bi-stretch a-line,90553471_0,58,79,107,994.8,1218.63,1442.46
dress purple bodycon,90881291_0,19,35,58,260.54,260.54,353.59
dress purple cocktail contour,91334518_0,13,20,100,172.9,172.9,321.1
dress purple cocktail lace,89537200_0,122,174,235,519.52,702.88,1864.16
dress purple cold a-line,90553210_0,65,111,128,828.8,828.8,1346.8
dress purple compare party,87931682_0,9,26,51,111.15,111.15,200.07
dress purple cutout sheath,91337593_0,32,51,126,389.69,389.69,656.32
dress purple drape out,91088586_0,65,87,116,669.7,1176.5,1176.5
dress purple embellished,91373315_0,19,62,88,244.44,331.74,331.74
dress purple faux-suede sheath,91413296_0,27,34,69,342.72,342.72,578.34
dress purple fit-and-flare shantung,78340744_0,18,27,142,77.48,77.48,348.66
dress purple flared,88876146_0,17,29,91,316.16,335.92,335.92
dress purple floral mini,89020846_0,25,68,101,50.25,418.75,418.75
dress purple floral-print sheer-sleeve,91135571_0,8,57,84,146.16,146.16,146.16
dress purple high-low ruffle-trim,90918466_0,28,52,109,409.5,409.5,637.0
dress purple jersey a-line,90553210_0,8,73,193,20.72,62.16,165.76
dress purple jersey ellie,91335456_0,12,83,168,168.4,168.4,252.6
dress purple knee-length,70090162_0,14,37,122,174.69,271.74,271.74
dress purple knee-length,88352512_0,56,64,85,641.85,641.85,1089.2
dress purple knee-length,90663715_0,35,27,55,334.88,334.88,732.55
dress purple knee-length,91051389_0,93,146,152,1361.6,1361.6,1582.86
dress purple knee-length,91294597_0,109,146,194,1281.01,1281.01,2634.53
dress purple knee-length,91346254_1,103,256,348,1044.96,1380.84,1921.98
dress purple knee-length,91351993_0,34,89,104,533.12,566.44,566.44
dress purple lace,91429191_0,83,125,249,600.02,852.66,1310.57
dress purple lace fit-and-flare,90413673_0,18,28,162,165.36,372.06,372.06
dress purple lace-up maxi,90206420_0,83,96,195,1184.7,1787.82,1787.82
dress purple length 3/4,90686656_0,61,135,263,1309.5,1479.25,1479.25
dress purple long,91354968_0,13,34,108,259.87,259.87,259.87
dress purple long-sleeved,90806322_0,135,307,416,783.64,2034.45,2034.45
dress purple maison,74139258_1,32,68,182,330.3,587.2,587.2
dress purple maxi,91173573_0,10,20,80,217.44,217.44,241.6
dress purple maxi,91290013_0,22,24,69,173.7,173.7,382.14
dress purple mini,82522606_0,103,228,317,2018.99,2018.99,2058.97
dress purple mini floral,89020846_0,16,58,113,234.5,234.5,268.0
dress purple mirage sheath,90395600_0,14,43,63,34.82,69.64,243.74
dress purple multi printed,91418147_0,7,26,115,85.12,148.96,148.96
dress purple orchid,90648875_0,63,132,273,854.88,1380.96,1380.96
dress purple pleated sheath,91423055_0,26,79,81,97.92,244.8,636.48
dress purple printed,90609493_0,25,60,191,442.42,502.75,502.75
dress purple printed chiffon,91414127_0,92,165,174,655.56,1675.32,1675.32
dress purple sheath,61605030_0,27,34,112,18.81,507.87,507.87
dress purple sheath,91411820_0,13,26,67,61.28,199.16,199.16
dress purple sheath crisscross,91154708_0,22,46,123,194.58,475.64,475.64
dress purple sheath lace,90999473_0,18,70,121,181.68,181.68,272.52
dress purple sheath pleated,91423055_0,23,40,86,195.84,269.28,563.04
dress purple sheath three-quarter,90878025_0,82,111,133,1149.88,1240.66,1240.66
dress purple shift,91283591_0,20,26,136,370.44,411.6,411.6
dress purple shirred strapless,88639215_0,12,24,155,132.65,227.4,227.4
dress purple short,91345450_0,58,201,239,980.42,1063.86,1209.88
dress purple short,91348187_0,68,80,173,602.94,1576.92,1576.92
dress purple short,91348624_0,20,53,139,401.2,401.2,401.2
dress purple short,91351007_0,29,136,174,356.04,573.62,573.62
dress purple short,91378405_0,10,26,70,218.7,218.7,218.7
dress purple short,91399416_0,13,25,136,36.96,36.96,240.24
dress purple shoulder cutout,91337593_0,26,74,82,0.0,328.16,533.26
dress purple showcase petite,91336678_0,148,153,154,1311.75,1311.75,3529.8
dress purple silk,91366189_0,24,27,50,582.48,582.48,582.48
dress purple silk tie,88779249_0,41,168,200,678.14,678.14,678.14
dress purple silk-chiffon midi,72351530_0,36,78,265,256.48,659.52,659.52
dress purple silvia knit,91250722_0,58,49,94,462.42,462.42,1277.16
dress purple sleeve sheath,91349706_0,13,96,181,19.64,19.64,255.32
dress purple sleeveless toni,88694468_0,29,70,85,625.82,625.82,625.82
dress purple stretch-crepe shift,87842864_0,12,45,52,237.0,237.0,237.0
dress purple v,89635331_0,80,199,266,787.0,787.0,1259.2
dress purple women's,91357725_0,48,183,219,487.35,866.4,866.4
dress purple wool-blend,75703597_0,24,67,98,102.35,184.23,491.28
dress purple wrap,37610855_0,37,67,69,612.72,612.72,612.72
dress purple wrap floral,91212514_0,66,146,154,741.6,741.6,1359.6
dress purple zip a-line,91070331_0,40,145,177,494.48,706.4,706.4
dress queen gray,88739849_0,55,197,267,742.9,742.9,888.25
dress quiz multicolor skater,91437723_0,33,131,154,355.3,436.05,532.95
dress racerback beige flare,89239772_0,14,31,70,174.8,174.8,244.72
dress racerback blue lace,91425056_0,8,95,129,36.78,147.12,147.12
dress racerback curved pink,89142219_0,12,30,76,191.16,191.16,191.16
dress racerback drape red,91423276_0,35,121,145,104.9,734.3,734.3
dress racerback fit-and-flare orange,89449367_0,26,39,78,110.65,575.38,575.38
dress racerback fringed black,91260761_0,54,59,74,60.84,821.34,821.34
dress racerback mesh blue,89397129_0,27,78,134,268.6,268.6,426.6
dress racerback pink lace,90474176_0,55,85,131,424.38,1060.95,1060.95
dress racerback pink maxi,90743250_0,32,70,91,482.8,482.8,772.48
dress racerback red maxi,91424701_0,15,47,51,301.95,301.95,301.95
dress racerback red split,91424701_0,24,59,69,40.26,483.12,483.12
dress racerback shift lace,91425056_0,77,83,85,588.48,588.48,1416.03
dress rachel multicolor,91255087_0,30,80,81,173.34,269.64,577.8
dress rainbow blue flight,88597633_0,13,24,133,20.84,166.72,270.92
dress rainbow sleeveless pink,80298825_0,17,44,69,147.04,147.04,312.46
dress rare london natural,91377989_0,24,20,68,453.53,453.53,572.88
dress rare mini white,89213476_0,97,142,174,1662.3,1662.3,1791.59
dress rare open-shoulder red,90954905_0,9,27,62,128.8,165.6,165.6
dress ray multicolor silk,91322897_2,12,23,66,120.89,189.97,207.24
dress ray skater lace,91147259_0,43,74,111,585.28,585.28,786.47
dress rayon black gauze,91232599_0,104,179,186,1904.64,1904.64,2063.36
dress real slow black,89825980_0,69,211,317,950.79,1205.88,1600.11
dress red 2 piece,55525904_0,16,31,146,18.95,113.7,303.2
dress red a-line,89639319_0,86,225,279,1193.4,1965.6,2012.4
dress red a-line,89928482_0,88,200,264,1342.32,1406.24,1406.24
dress red a-line,91314137_0,4,28,93,81.28,81.28,81.28
dress red a-line,91420947_0,91,181,260,245.04,449.24,1858.22
dress red a-line mock-neck,91164754_0,14,33,67,80.65,80.65,225.82
dress red alana,88843229_0,178,323,346,1970.1,2786.0,3542.2
dress red aldridge cutout,91057555_0,28,132,153,253.4,506.8,506.8
dress red amber sleeveless,91310144_0,14,25,60,134.96,269.92,269.92
dress red asymmetrical ruffle,90113759_0,8,38,181,90.42,120.56,120.56
dress red asymmetrical twill,66164060_0,71,134,176,292.8,1299.3,1299.3
dress red aurora,91428195_0,20,97,105,46.28,370.24,462.8
dress red back detail,89627221_0,33,72,94,584.75,771.87,771.87
dress red bandeau strap,89652272_1,8,144,170,34.4,103.2,137.6
dress red bardot fishtail,91246658_0,58,62,153,1067.2,1067.2,1067.2
dress red bell-sleeve floral,91184379_0,7,50,57,0.0,113.75,113.75
dress red belted jacquard,89753516_0,17,37,61,267.52,267.52,413.44
dress red blue navy,91337182_0,8,56,102,31.12,77.8,124.48
dress red bodycon lace-up,91252298_0,87,104,127,868.4,1452.9,1452.9
dress red boyfriend maxi,91373485_0,22,97,102,0.0,472.72,547.36
dress red bustier,89497247_0,157,320,377,1651.55,2933.35,3870.05
dress red capelet,90408473_0,68,122,258,1027.53,1111.41,1425.96
dress red carrie,77255101_0,186,174,176,2369.24,2369.24,3612.12
dress red crepe crisscross,89196271_0,35,27,91,269.79,269.79,555.45
dress red crepe short-sleeve,90582201_0,25,63,69,432.75,432.75,432.75
dress red crochet cutout,91373888_0,23,78,85,304.07,304.07,537.97
dress red crêpe,90955692_0,24,56,64,282.52,282.52,484.32
dress red cut side,90902329_1,13,47,160,254.28,254.28,254.28
dress red cutout,91278433_0,45,138,207,883.6,883.6,994.05
dress red cutout eyelet,88666835_0,25,120,121,73.76,461.0,461.0
dress red diamond n,91115903_0,29,45,136,451.44,595.08,595.08
dress red drop-waist,91251669_0,70,106,191,1181.16,1181.16,1621.2
dress red embellished,90911367_0,24,133,133,255.85,255.85,361.2
dress red embellished mistress,91337183_0,92,145,158,1581.48,1581.48,1581.48
dress red eyelet sleeveless,91264489_0,22,56,67,316.42,535.48,535.48
dress red fit v-neck,89337121_0,9,45,133,121.28,121.28,136.44
dress red fit-and-flare,91192549_0,93,248,286,624.4,2073.9,2073.9
dress red fit-and-flare bow,90818315_0,24,25,104,92.68,370.72,556.08
dress red fit-and-flare jacquard,91334558_0,30,38,88,0.0,250.69,683.7
dress red fit-and-flare wool,57757915_0,27,139,186,231.6,231.6,625.32
dress red fitted,88123894_0,48,104,127,491.6,491.6,1179.84
dress red flare crochet,91411667_0,25,128,186,590.5,590.5,590.5
dress red flare eyelet,91318767_0,37,114,148,250.04,660.82,660.82
dress red flare fit,89231003_0,38,74,174,21.22,212.2,806.36
dress red floral,89683343_0,159,213,226,3437.72,3437.72,3822.36
dress red floral maxi,91318644_0,51,83,175,967.26,1049.58,1049.58
dress red floral skater,90670555_0,14,27,56,137.16,320.04,320.04
dress red floral-print stretch-cotton,89654349_0,35,76,195,54.39,634.55,634.55
dress red fringe suede,91332388_0,68,80,106,875.91,1385.16,1385.16
dress red full prom,89625325_0,28,45,99,326.06,326.06,652.12
dress red halter,70967409_0,219,363,466,976.79,2524.91,4036.17
dress red halter maxi,91086430_0,8,89,156,66.04,132.08,132.08
dress red harlie,72519903_0,49,43,131,304.6,304.6,746.27
dress red high-low trapeze,89547609_0,22,29,153,304.98,394.68,394.68
dress red jacquard,91248802_0,196,304,465,1655.94,3672.79,4161.08
dress red jacquard belted,89753516_0,13,20,82,194.56,316.16,316.16
dress red jersey plus,91117046_0,77,123,281,770.4,1412.4,1647.8
dress red jessa lace,70494356_2,21,52,131,275.16,275.16,481.53
dress red kelly strappy,89624983_0,100,138,185,1434.47,1434.47,2141.0
dress red keyhole halter,91081258_0,39,170,178,399.6,779.22,779.22
dress red knee-length,88471618_0,14,67,125,191.1,267.54,267.54
dress red knee-length,91347034_0,52,224,264,679.68,774.08,981.76
dress red knee-length,91358186_0,42,45,189,988.26,988.26,988.26
dress red knit,69416610_0,77,78,173,1295.64,1295.64,1690.92
dress red knit,91303516_0,12,35,173,140.28,140.28,240.48
dress red lace,70968480_0,69,109,110,1073.64,1073.64,1073.64
dress red lace neck,90920240_0,12,59,139,209.4,209.4,209.4
dress red lace sheath,90412597_0,32,34,136,212.3,212.3,679.36
dress red lace skater,91346728_0,6,46,97,139.56,139.56,139.56
dress red lace trim,91008451_0,24,34,65,277.6,416.4,416.4
dress red layer sleeveless,89628138_0,10,25,76,44.86,224.3,224.3
dress red length floor,91171745_0,88,114,138,777.6,777.6,1425.6
dress red long,89772009_0,124,140,181,1650.36,1650.36,3009.48
dress red long,90728858_0,164,232,386,2020.72,2176.16,3186.52
dress red long,90857937_0,25,57,80,104.05,520.25,520.25
dress red long,91326940_0,12,59,109,237.3,237.3,284.76
dress red long wine,91186164_0,38,93,107,417.04,417.04,609.52
dress red maria,90033558_0,33,65,84,0.0,303.8,716.1
dress red maxi,89568762_0,82,185,195,799.5,799.5,1311.18
dress red maxi,89622545_0,70,134,175,721.23,721.23,1740.9
dress red maxi,89972483_0,13,45,196,17.56,35.12,228.28
dress red maxi,90962369_0,33,107,206,244.92,489.84,673.53
dress red maxi,91326019_0,52,53,74,628.5,628.5,1089.4
dress red maxi,91409790_0,56,197,321,1021.14,1021.14,1058.96
dress red maxi braided,91191208_0,11,130,157,153.52,211.09,211.09
dress red maxi chiffon,89294839_0,57,91,151,1282.84,1406.19,1406.19
dress red maxi chiffon,90408362_0,59,131,136,1172.92,1172.92,1172.92
dress red maxi hi-low,90795463_0,32,105,108,358.35,764.48,764.48
dress red maxi off-the-shoulder,91125172_0,25,81,106,409.25,409.25,409.25
dress red maxi print,90736648_0,41,50,74,66.87,557.25,913.89
dress red maxi silk,91196345_0,28,73,191,385.2,449.4,449.4
dress red maxi surplice,91200737_0,60,100,173,528.32,875.03,990.6
dress red maxi v-neck,91296188_0,46,92,127,153.72,204.96,785.68
dress red midi,89196183_0,153,116,141,1040.05,1040.05,2608.65
dress red midi,90232804_0,23,32,136,201.06,446.8,513.82
dress red midi,90458600_0,12,52,141,153.12,229.68,229.68
dress red midi,90956794_0,23,129,178,0.0,345.23,345.23
dress red midi flounced,90413212_0,131,165,199,2371.25,2371.25,2485.07
dress red midi pleated,91060284_0,7,33,153,170.24,170.24,170.24
dress red mini,91237596_0,95,128,257,1394.61,1394.61,1522.85
dress red mini lace,89496538_0,8,37,52,81.68,163.36,163.36
dress red mini silk-georgette,91278327_0,30,42,193,49.88,498.8,748.2
dress red mock-neck jersey,91045903_0,81,118,190,1233.96,1281.42,1281.42
dress red moon summer,89558892_0,7,92,142,105.85,105.85,148.19
dress red nicola tunic,90137958_0,12,91,165,108.24,216.48,216.48
dress red nori,89125108_0,35,88,132,199.54,562.34,634.9
dress red nursing sheath,91426209_0,10,31,110,179.68,179.68,224.6
dress red only,89101290_0,34,138,177,112.98,274.38,548.76
dress red overlay,91407617_0,20,54,194,170.55,379.0,379.0
dress red palm diamond,91115903_0,49,96,130,1005.48,1005.48,1005.48
dress red pinny black,91341001_0,46,68,198,245.4,245.4,940.7
dress red plaid mini,91032126_0,41,58,137,701.91,765.72,872.07
dress red plaid natasha,91121158_0,40,57,99,607.2,736.0,736.0
dress red pleated,88591616_0,9,67,147,36.2,90.5,162.9
dress red pleated one-shoulder,91154710_0,86,145,232,1348.6,2084.2,2108.72
dress red plisse embellished,79037961_0,5,60,169,84.96,84.96,106.2
dress red plus size,90929114_0,29,40,59,519.97,519.97,519.97
dress red polo long,91261122_0,23,122,169,0.0,371.45,371.45
dress red print,63853383_0,56,62,113,364.48,774.52,1275.68
dress red print silk-chiffon,89330892_0,21,117,191,75.28,395.22,395.22
dress red printed mara,91409513_0,17,38,60,24.5,73.5,416.5
dress red printed midi,91234961_0,15,105,127,225.72,307.8,307.8
dress red printed tank,89644702_0,9,165,193,45.44,113.6,204.48
dress red romy jacquard,91323684_0,59,67,71,861.51,861.51,1081.47
dress red ruffle asymmetrical,89507912_0,130,183,375,2687.31,2929.41,3147.3
dress red ruffle maxi,90884481_0,33,53,111,299.88,724.71,824.67
dress red ruffled cap-sleeve,91024488_0,96,130,148,978.72,1957.44,1957.44
dress red scalloped lace,90119324_0,51,99,168,693.88,804.27,804.27
dress red scuba,89449297_0,38,58,103,813.62,813.62,909.34
dress red shantung fit-and-flare,89533519_0,50,156,187,319.41,760.5,760.5
dress red sheath,68020204_0,28,86,130,200.5,320.8,561.4
dress red sheath,75451637_0,133,171,200,1663.24,1663.24,2572.22
dress red sheath,90052000_0,26,66,145,0.0,525.98,525.98
dress red sheath,90783920_0,65,131,147,1285.44,1606.8,1606.8
dress red sheath,91311323_0,85,163,305,1016.4,1016.4,1309.0
dress red sheath,91316718_0,25,45,52,504.72,525.75,525.75
dress red sheath beaded,74170863_0,20,44,92,454.6,454.6,454.6
dress red sheath blend,91412616_0,11,20,193,55.95,167.85,205.15
dress red sheath colorblock,91227606_0,13,23,159,198.56,322.66,322.66
dress red sheath scuba,76293501_0,15,59,103,135.36,225.6,225.6
dress red sheath striped,89863009_0,28,52,124,471.42,471.42,488.88
dress red shift,89849752_0,12,24,77,0.0,0.0,218.64
dress red shift,91284422_0,8,36,157,101.85,101.85,162.96
dress red shift,91310526_0,13,55,195,47.98,311.87,311.87
dress red shift,91431333_0,17,25,141,220.3,220.3,374.51
dress red shift double,91415617_0,36,176,181,187.2,486.72,673.92
dress red shift striped,91416050_0,22,40,71,517.88,517.88,517.88
dress red short,61100873_0,30,36,73,484.75,484.75,581.7
dress red short,72369186_0,113,191,211,983.88,1621.58,2058.86
dress red short,74313173_0,26,38,57,19.07,133.49,495.82
dress red short,79444975_0,77,157,200,1449.66,1508.43,1508.43
dress red short,88343813_0,24,27,126,237.25,237.25,438.0
dress red short,88345844_0,17,104,155,186.39,186.39,352.07
dress red short,88350655_0,9,126,176,210.33,210.33,210.33
dress red short,88465150_0,77,146,190,451.08,687.36,1653.96
dress red short,89783598_1,11,84,181,40.04,120.12,220.22
dress red short,91299737_0,71,86,108,181.44,181.44,1073.52
dress red short,91353067_0,15,118,309,138.72,260.1,260.1
dress red short,91354494_0,57,73,94,195.69,1014.03,1014.03
dress red short,91355005_0,26,20,74,350.71,350.71,536.38
dress red shoulder twist,87865059_0,33,39,101,139.08,764.94,764.94
dress red silk printed,91011832_0,22,167,193,71.97,455.81,527.78
dress red silk-blend,88155788_0,10,32,131,96.0,216.0,240.0
dress red silk-tulle,83820705_0,9,66,147,178.24,200.52,200.52
dress red skater,91403288_0,37,149,195,363.63,584.97,584.97
dress red skater bandeau,89624061_0,26,96,151,526.5,526.5,526.5
dress red skater cold,89623817_0,16,72,196,288.54,288.54,329.76
dress red skater high,91257772_0,23,115,189,439.76,439.76,439.76
dress red skater plunge,89622318_0,80,127,134,321.67,1354.4,1354.4
dress red skater scallop,89622318_0,14,41,98,101.58,101.58,237.02
